#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  8.26e+06  |1403119208|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.27753412|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.00000000|  FAILED  
  diehard_rank_32x32|   0|     40000|     100|0.13947533|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.01501736|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.00000000|  FAILED  
        diehard_opso|   0|   2097152|     100|0.00000000|  FAILED  
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.00000000|  FAILED  
diehard_count_1s_byt|   0|    256000|     100|0.00000000|  FAILED  
 diehard_parking_lot|   0|     12000|     100|0.18078043|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.00339386|   WEAK   
    diehard_3dsphere|   3|      4000|     100|0.35577919|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.00000000|  FAILED  
        diehard_sums|   0|       100|     100|0.00071128|   WEAK   
        diehard_runs|   0|    100000|     100|0.71957287|  PASSED  
        diehard_runs|   0|    100000|     100|0.27964457|  PASSED  
       diehard_craps|   0|    200000|     100|0.04545440|  PASSED  
       diehard_craps|   0|    200000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.19657748|  PASSED  
            sts_runs|   2|    100000|     100|0.03338660|  PASSED  
          sts_serial|   1|    100000|     100|0.17466342|  PASSED  
          sts_serial|   2|    100000|     100|0.02819460|  PASSED  
          sts_serial|   3|    100000|     100|0.12048900|  PASSED  
          sts_serial|   3|    100000|     100|0.36289448|  PASSED  
          sts_serial|   4|    100000|     100|0.00170714|   WEAK   
          sts_serial|   4|    100000|     100|0.02322288|  PASSED  
          sts_serial|   5|    100000|     100|0.00247660|   WEAK   
          sts_serial|   5|    100000|     100|0.87113651|  PASSED  
          sts_serial|   6|    100000|     100|0.01630780|  PASSED  
          sts_serial|   6|    100000|     100|0.59299239|  PASSED  
          sts_serial|   7|    100000|     100|0.08245495|  PASSED  
          sts_serial|   7|    100000|     100|0.19607867|  PASSED  
          sts_serial|   8|    100000|     100|0.00164621|   WEAK   
          sts_serial|   8|    100000|     100|0.01323527|  PASSED  
          sts_serial|   9|    100000|     100|0.00000018|  FAILED  
          sts_serial|   9|    100000|     100|0.00000118|   WEAK   
          sts_serial|  10|    100000|     100|0.00000000|  FAILED  
          sts_serial|  10|    100000|     100|0.00239069|   WEAK   
          sts_serial|  11|    100000|     100|0.00000000|  FAILED  
          sts_serial|  11|    100000|     100|0.00000203|   WEAK   
          sts_serial|  12|    100000|     100|0.00000000|  FAILED  
          sts_serial|  12|    100000|     100|0.00000000|  FAILED  
          sts_serial|  13|    100000|     100|0.00000000|  FAILED  
          sts_serial|  13|    100000|     100|0.00000000|  FAILED  
          sts_serial|  14|    100000|     100|0.00000000|  FAILED  
          sts_serial|  14|    100000|     100|0.00000000|  FAILED  
          sts_serial|  15|    100000|     100|0.00000000|  FAILED  
          sts_serial|  15|    100000|     100|0.00000000|  FAILED  
          sts_serial|  16|    100000|     100|0.00000000|  FAILED  
          sts_serial|  16|    100000|     100|0.00000000|  FAILED  
         rgb_bitdist|   1|    100000|     100|0.71885449|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.00787312|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.38526326|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.00000039|  FAILED  
         rgb_bitdist|   5|    100000|     100|0.69783841|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.69195366|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.53233781|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.00000000|  FAILED  
         rgb_bitdist|   9|    100000|     100|0.21230904|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.53283863|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.40867698|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.25115988|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.00000041|  FAILED  
rgb_minimum_distance|   3|     10000|    1000|0.00002078|   WEAK   
rgb_minimum_distance|   4|     10000|    1000|0.00000001|  FAILED  
rgb_minimum_distance|   5|     10000|    1000|0.00000000|  FAILED  
    rgb_permutations|   2|    100000|     100|0.12142020|  PASSED  
    rgb_permutations|   3|    100000|     100|0.90934168|  PASSED  
    rgb_permutations|   4|    100000|     100|0.00723979|  PASSED  
    rgb_permutations|   5|    100000|     100|0.52071699|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.84416615|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.05445318|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.42661443|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.30421887|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.66943016|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.14820967|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.02690893|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.70027409|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.75305625|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.84036595|  PASSED  
