m = 0
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  9.05e+06  | 718145134|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.32239858|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.84805164|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.61687198|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.24768238|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.42851987|  PASSED  
        diehard_opso|   0|   2097152|     100|0.59710286|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.84504001|  PASSED  
         diehard_dna|   0|   2097152|     100|0.73143696|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.96540212|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.63586463|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.28239841|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.43411809|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.87485960|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.87641537|  PASSED  
        diehard_sums|   0|       100|     100|0.70273908|  PASSED  
        diehard_runs|   0|    100000|     100|0.97437609|  PASSED  
        diehard_runs|   0|    100000|     100|0.41437491|  PASSED  
       diehard_craps|   0|    200000|     100|0.82514948|  PASSED  
       diehard_craps|   0|    200000|     100|0.80004143|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.04671441|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.87985944|  PASSED  
         sts_monobit|   1|    100000|     100|0.34464340|  PASSED  
            sts_runs|   2|    100000|     100|0.94361080|  PASSED  
          sts_serial|   1|    100000|     100|0.02346465|  PASSED  
          sts_serial|   2|    100000|     100|0.74034197|  PASSED  
          sts_serial|   3|    100000|     100|0.09038107|  PASSED  
          sts_serial|   3|    100000|     100|0.06351287|  PASSED  
          sts_serial|   4|    100000|     100|0.33263049|  PASSED  
          sts_serial|   4|    100000|     100|0.91169418|  PASSED  
          sts_serial|   5|    100000|     100|0.81097123|  PASSED  
          sts_serial|   5|    100000|     100|0.18516562|  PASSED  
          sts_serial|   6|    100000|     100|0.68190624|  PASSED  
          sts_serial|   6|    100000|     100|0.67095496|  PASSED  
          sts_serial|   7|    100000|     100|0.97004859|  PASSED  
          sts_serial|   7|    100000|     100|0.89828659|  PASSED  
          sts_serial|   8|    100000|     100|0.96543347|  PASSED  
          sts_serial|   8|    100000|     100|0.60339660|  PASSED  
          sts_serial|   9|    100000|     100|0.63429178|  PASSED  
          sts_serial|   9|    100000|     100|0.61254793|  PASSED  
          sts_serial|  10|    100000|     100|0.47637766|  PASSED  
          sts_serial|  10|    100000|     100|0.30654420|  PASSED  
          sts_serial|  11|    100000|     100|0.87826038|  PASSED  
          sts_serial|  11|    100000|     100|0.64141072|  PASSED  
          sts_serial|  12|    100000|     100|0.47046182|  PASSED  
          sts_serial|  12|    100000|     100|0.62065186|  PASSED  
          sts_serial|  13|    100000|     100|0.53558663|  PASSED  
          sts_serial|  13|    100000|     100|0.49736668|  PASSED  
          sts_serial|  14|    100000|     100|0.77296945|  PASSED  
          sts_serial|  14|    100000|     100|0.50327118|  PASSED  
          sts_serial|  15|    100000|     100|0.27320815|  PASSED  
          sts_serial|  15|    100000|     100|0.74814929|  PASSED  
          sts_serial|  16|    100000|     100|0.97582493|  PASSED  
          sts_serial|  16|    100000|     100|0.41870151|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.33738383|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.99189410|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.81848365|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.64065859|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.82660558|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.10680765|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.80578938|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.88658319|  PASSED  
