#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  7.68e+06  |1763315756|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.01252163|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.76667672|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.83405557|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.88195899|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.32964566|  PASSED  
        diehard_opso|   0|   2097152|     100|0.54892104|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.12861733|  PASSED  
         diehard_dna|   0|   2097152|     100|0.30492687|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.83667147|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.04128145|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.04286309|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.77263218|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.77931292|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.10920582|  PASSED  
        diehard_sums|   0|       100|     100|0.29263978|  PASSED  
        diehard_runs|   0|    100000|     100|0.53710391|  PASSED  
        diehard_runs|   0|    100000|     100|0.18163558|  PASSED  
       diehard_craps|   0|    200000|     100|0.80909198|  PASSED  
       diehard_craps|   0|    200000|     100|0.91815853|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.30816662|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.42680401|  PASSED  
         sts_monobit|   1|    100000|     100|0.64017342|  PASSED  
            sts_runs|   2|    100000|     100|0.23516605|  PASSED  
          sts_serial|   1|    100000|     100|0.42496460|  PASSED  
          sts_serial|   2|    100000|     100|0.32287391|  PASSED  
          sts_serial|   3|    100000|     100|0.25636198|  PASSED  
          sts_serial|   3|    100000|     100|0.59916288|  PASSED  
          sts_serial|   4|    100000|     100|0.79388592|  PASSED  
          sts_serial|   4|    100000|     100|0.46544526|  PASSED  
          sts_serial|   5|    100000|     100|0.66607919|  PASSED  
          sts_serial|   5|    100000|     100|0.88110198|  PASSED  
          sts_serial|   6|    100000|     100|0.30361277|  PASSED  
          sts_serial|   6|    100000|     100|0.79246875|  PASSED  
          sts_serial|   7|    100000|     100|0.68989548|  PASSED  
